a  啊
a-a  呵呵
a-bi-di-yu  阿鼻地狱
a-chi  呵斥
a-he  呵呵
a-hu  呵护
a-ke  呵呵
a-mao-a-gou  阿猫阿狗
a-mi  阿弥
a-mi-tuo-fo  阿弥陀佛
a-mi-tuo-fu  阿弥陀佛
a-niu  阿牛
a-qi  呵气
a-xiu  阿秀
a-xiu-luo  阿修罗
a-yu  阿谀
a-yu-feng-cheng  阿谀奉承
ai 矮 爱  挨
ai-ai 皑皑  哀哀
ai-ai-de  矮矮的
ai-bing-bi-sheng  哀兵必胜
ai-bu-shi-shou  爱不释手
ai-cai  爱才
ai-chou  哀愁
ai-ci  挨此
ai-da  挨打
ai-dai  爱戴
ai-dang  爱当
ai-dao 碍到 爱到  挨刀
ai-de  挨得
ai-de-shi  挨得实
ai-fei 爱非  爱妃
ai-ge 挨个  矮个
ai-guo 捱过 挨过  爱过
ai-guo-qu  捱过去
ai-hao 哀号 爱好  哀嚎
ai-hen  爱恨
ai-hen-jiao-jia  爱恨交加
ai-hen-jiao-zhi  爱恨交织
ai-hong  哀鸿
ai-hong-bian-ye  哀鸿遍野
ai-hu  爱护
ai-jiao  矮脚
ai-jie  爱洁
ai-jin  挨近
ai-jue  矮脚
ai-ku  哀哭
ai-le  捱了
ai-le-guo-qu  捱了过去
ai-li-bu-li  爱理不理
ai-lian 爱恋  爱怜
ai-liao  捱了
ai-liao-guo-qu  捱了过去
ai-lin  挨林
ai-lin-xuan 爱林轩  挨林轩
ai-luo  挨落
ai-lv  爱侣
ai-ma  挨骂
ai-mei 爱美  暧昧
ai-mian-zi  爱面子
ai-ming  哀鸣
ai-ming-bu-yi  哀鸣不已
ai-mo-neng-zhu  爱莫能助
ai-mu  爱慕
ai-nian  爱念
ai-nu  哀怒
ai-nv  爱女
ai-nv-xin-qie  爱女心切
ai-pang  矮胖
ai-qi  爱妻
ai-qiang  矮墙
ai-qie  爱妾
ai-qing  爱情
ai-qing-gu-shi  爱情故事
ai-qiu  哀求
ai-ren  爱人
ai-shang 爱上 哀伤  挨上
ai-sheng  哀声
ai-sheng-tan-qi  唉声叹气
ai-shi 爱是 挨实  碍事
ai-shou-ai-jiao  碍手碍脚
ai-shou-ai-jue  碍手碍脚
ai-sun  爱孙
ai-tan  哀叹
ai-tong  哀痛
ai-tu  爱徒
ai-wu  爱屋
ai-wu-ji-wu  爱屋及乌
ai-xi  爱惜
ai-xi-yu-mao  爱惜羽毛
ai-xiao 爱笑  矮小
ai-xie  矮些
ai-yan  碍眼
ai-yi  爱意
ai-yo  哎哟
ai-yu  碍于
ai-yuan  哀怨
ai-zai  挨宰
ai-zeng-fen-ming  爱憎分明
ai-zhao 捱着  挨着
ai-zhe 捱着  挨着
ai-zhuang  矮壮
ai-zhun  挨准
ai-zhuo 捱着  挨着
ai-zi 矮子  爱子
an  按
an-an  暗暗
an-an-jing-jing  安安静静
an-an-quan-quan  安安全全
an-an-xin-xin  安安心心
an-bao  安保
an-ben  按本
an-bian  岸边
an-bing-bu-dong  按兵不动
an-bu-jiu-ban  按部就班
an-cang  暗藏
an-cang-sha-ji  暗藏杀机
an-cang-xuan-ji  暗藏玄机
an-cha  安插
an-chao 暗潮  暗嘲
an-chao-xiong-yong  暗潮汹涌
an-chu 按出  暗处
an-cun  暗存
an-da-ge  安大哥
an-dan 暗淡  黯淡
an-dan-wu-guang 暗淡无光  黯淡无光
an-dan-xia-lai  黯淡下来
an-dao  暗道
an-de  暗得
an-di-li  暗地里
an-ding  安定
an-du-chen-cang 暗渡陈仓  暗度陈仓
an-du-wan-nian  安度晚年
an-dun  安顿
an-dun-xia-lai  安顿下来
an-duo  暗夺
an-fa  按法
an-fang  安放
an-fen  安分
an-fen-shou-ji  安分守己
an-fu  安抚
an-gan 安敢  暗感
an-ge 安格  暗格
an-hai  暗害
an-han  暗含
an-hao 暗号  安好
an-he 暗喝 暗合  暗河
an-hei  暗黑
an-hen  暗恨
an-hong  暗红
an-hong-se  暗红色
an-hu  暗呼
an-hua  暗话
